"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.673375010E-3,-3.835010406E-1,5.368971884E-1,-4.741437006E-1
1.562337502E-2,-5.101491004E-1,6.197045794E-1,-7.398622298E-1
2.557237502E-2,-6.182816595E-1,5.498973030E-1,-6.816549522E-1
3.552237502E-2,-7.200568333E-1,4.533615267E-1,-5.338917196E-1
4.547237500E-2,-6.908809814E-1,2.874858128E-1,-4.698302096E-1
5.542237501E-2,-5.088744074E-1,2.094019488E-2,-4.997170830E-1
6.537237501E-2,-3.708356792E-1,-1.047917524E-1,-6.941405118E-1
7.532237502E-2,-3.796828088E-1,-9.951273993E-2,-9.903622109E-1
8.527237500E-2,-5.372146922E-1,-1.070711432E-1,-1.237715805E0
9.522237501E-2,-4.732189634E-1,-2.913509685E-1,-1.403269191E0
1.051723750E-1,-3.312365806E-1,-4.329686312E-1,-1.553696415E0
1.151223750E-1,-2.758568703E-1,-3.309741868E-1,-1.444687943E0
1.250723750E-1,-1.313720253E-1,-1.027960246E-1,-8.814490485E-1
1.350223750E-1,3.648954928E-2,1.916594499E-1,-1.969710606E-1
1.449723750E-1,8.814429089E-2,5.052326884E-1,4.765784812E-1
1.549223750E-1,1.566603559E-1,8.024084339E-1,1.142017935E0
1.648713750E-1,-2.231604472E-2,1.088552676E0,1.403946299E0
1.748213750E-1,-1.979766355E-1,1.217254643E0,1.595552539E0
1.847713750E-1,-2.024800149E-1,1.031201358E0,1.523687920E0
1.947213750E-1,-1.132661220E-1,7.176738006E-1,9.314602840E-1
2.046713750E-1,2.173117697E-2,3.333879905E-1,2.772778898E-1
2.146213750E-1,3.742232636E-2,1.794771050E-1,-4.357900590E-1
2.245713750E-1,-1.697300524E-3,2.726457622E-1,-8.747446311E-1
2.345213750E-1,-2.485163131E-1,5.964282757E-1,-9.704641360E-1
2.444713750E-1,-4.389146648E-1,9.350681622E-1,-6.557196271E-1
2.544213750E-1,-3.602456407E-1,1.109657324E0,-1.060041726E-1
2.643713750E-1,-2.786856801E-1,1.158328524E0,7.065576589E-1
2.743213750E-1,-2.125454667E-1,8.761001618E-1,1.596092822E0
2.842713750E-1,-7.070073829E-1,7.688810840E-1,2.819955989E0
2.942213750E-1,-3.567270787E-1,1.279504394E0,2.127072043E0
3.041703750E-1,3.433342871E-1,1.297307119E-2,8.159029305E-2
3.141203750E-1,7.320222831E-1,-5.284479618E-1,3.517187923E-1
3.240703750E-1,5.675440536E-1,-2.153598230E-1,1.241715301E0
3.340203750E-1,3.370989990E-1,-3.302799761E-3,9.499000633E-1
3.439703750E-1,2.308872138E-1,3.128722304E-1,5.489026916E-1
3.539203750E-1,9.409231620E-2,5.558056220E-1,4.638011456E-1
3.638703750E-1,-8.983839372E-2,6.333278610E-1,8.896240407E-1
