"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.493998528E-3,6.500938576E1,2.560098858E1,2.224971210E1,NaN,NaN,4.699501400E1,3.365400331E1
2.146601677E-2,6.500938020E1,2.560100990E1,2.296844109E1,NaN,NaN,5.022649213E1,3.460808124E1
9.522050619E-1,6.500890832E1,2.560258079E1,1.547480965E1,6.299999952E-1,1.673437500E2,1.339687154E1,1.200000000E1
2.093607068E0,6.500888564E1,2.560239530E1,2.171873665E1,1.419999957E0,1.406250000E2,1.336639693E1,1.200000000E1
3.097796082E0,6.500883868E1,2.560256828E1,2.145467758E1,9.200000167E-1,1.683984375E2,3.623783198E0,4.000000000E0
3.706166148E0,6.500883135E1,2.560255383E1,2.105794144E1,1.279999971E0,1.613671875E2,3.528343425E0,3.000000000E0
4.708891034E0,6.500882154E1,2.560255508E1,2.108230400E1,1.279999971E0,1.613671875E2,3.508124553E0,3.000000000E0
5.704124093E0,6.500881004E1,2.560255053E1,2.160788155E1,1.240000010E0,1.613671875E2,3.234357505E0,3.000000000E0
6.688516378E0,6.500880068E1,2.560254231E1,2.147287560E1,1.240000010E0,1.687500000E2,3.299882652E0,3.000000000E0
7.688497663E0,6.500878951E1,2.560255392E1,2.146995163E1,1.240000010E0,1.701562500E2,3.431823339E0,3.000000000E0
8.688474059E0,6.500877927E1,2.560255833E1,2.131572342E1,1.299999952E0,1.687500000E2,3.394478274E0,3.000000000E0
9.688455462E0,6.500876976E1,2.560255130E1,2.127855492E1,1.299999952E0,1.687500000E2,3.426421161E0,3.000000000E0
1.068843949E1,6.500875963E1,2.560255762E1,2.120721626E1,1.509999990E0,1.627734375E2,3.405350428E0,3.000000000E0
1.168841934E1,6.500874987E1,2.560255491E1,2.109498024E1,1.509999990E0,1.687500000E2,3.338674636E0,3.000000000E0
1.268840456E1,6.500874030E1,2.560255918E1,2.100533104E1,1.330000043E0,1.641796875E2,3.340433119E0,3.000000000E0
1.368839133E1,6.500872562E1,2.560257706E1,2.100533697E1,1.330000043E0,1.641796945E2,2.905094424E0,4.029364438E0
1.468837440E1,6.500871434E1,2.560258235E1,2.088302823E1,1.309999943E0,1.712109413E2,3.210564450E0,4.029364438E0
1.568836355E1,6.500870220E1,2.560259037E1,2.099107572E1,1.330000043E0,1.666406309E2,3.751027884E0,4.029364438E0
1.668835032E1,6.500868910E1,2.560259758E1,2.040258048E1,1.399999976E0,1.673437559E2,4.104480424E0,4.029364438E0
1.768833542E1,6.500867730E1,2.560260195E1,2.033965896E1,1.399999976E0,1.691015676E2,4.214074272E0,4.029364438E0
1.868832958E1,6.500866633E1,2.560260687E1,2.012463780E1,1.309999943E0,1.691015673E2,4.300498971E0,4.029364438E0
1.968831980E1,6.500865526E1,2.560261586E1,2.020198460E1,1.259999990E0,1.634765694E2,4.463919027E0,4.029364438E0
2.068830717E1,6.500864251E1,2.560262458E1,1.989321538E1,1.309999943E0,1.634765697E2,4.567752178E0,4.029364438E0
